"","Group","Description","District","Date","Year","Month","Day.of.Week","Hour","Street"
"1","Disorderly Conduct","DISTURBING THE PEACE","E18","2018-10-03",2018,10,"Wednesday",20,"ARLINGTON ST"
"2","Property Lost","PROPERTY - LOST","D14","2018-08-30",2018,8,"Thursday",20,"ALLSTON ST"
"3","Other","THREATS TO DO BODILY HARM","B2","2018-10-03",2018,10,"Wednesday",19,"DEVON ST"
"4","Aggravated Assault","ASSAULT - AGGRAVATED - BATTERY","A1","2018-10-03",2018,10,"Wednesday",20,"CAMBRIDGE ST"
"5","Aircraft","AIRCRAFT INCIDENTS","A7","2018-10-03",2018,10,"Wednesday",20,"PRESCOTT ST"
"6","Vandalism","VANDALISM","C11","2018-10-02",2018,10,"Tuesday",20,"DORCHESTER AVE"
"7","Verbal Disputes","VERBAL DISPUTE","B2","2018-10-03",2018,10,"Wednesday",19,"TREMONT ST"
"8","Simple Assault","ASSAULT SIMPLE - BATTERY","E18","2018-10-03",2018,10,"Wednesday",19,"AVILA RD"
"9","Towed","TOWED MOTOR VEHICLE","D4","2018-10-03",2018,10,"Wednesday",20,"COMMONWEALTH AVE"
"10","Motor Vehicle Accident Response","M/V ACCIDENT - PERSONAL INJURY","D14","2018-10-03",2018,10,"Wednesday",19,"FOSTER ST"
"11","Auto Theft","AUTO THEFT - MOTORCYCLE / SCOOTER","E13","2018-10-01",2018,10,"Monday",20,"BYNNER ST"
"12","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","E18","2018-10-03",2018,10,"Wednesday",17,"BELNEL RD"
"13","Investigate Person","INVESTIGATE PERSON","B3","2018-10-03",2018,10,"Wednesday",8,"ELIZABETH ST"
"14","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","B3","2018-10-03",2018,10,"Wednesday",19,"FOTTLER RD"
"15","Other","THREATS TO DO BODILY HARM","C11","2018-10-03",2018,10,"Wednesday",18,"HALLET ST"
"16","Other","THREATS TO DO BODILY HARM","B2","2018-10-03",2018,10,"Wednesday",19,"DUNKELD ST"
"17","Investigate Person","INVESTIGATE PERSON","D4","2018-10-03",2018,10,"Wednesday",18,"KILMARNOCK ST"
"18","Fire Related Reports","FIRE REPORT - HOUSE, BUILDING, ETC.","C11","2018-10-03",2018,10,"Wednesday",18,"NAVILLUS TER"
"19","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","C6","2018-10-02",2018,10,"Tuesday",20,"COLUMBIA RD"
"20","Larceny","LARCENY SHOPLIFTING","D4","2018-10-03",2018,10,"Wednesday",19,"HUNTINGTON AVE"
"21","Investigate Property","INVESTIGATE PROPERTY","B2","2018-10-03",2018,10,"Wednesday",18,"HANSFORD ST"
"22","Verbal Disputes","VERBAL DISPUTE","B2","2018-10-03",2018,10,"Wednesday",18,"AKRON ST"
"23","Larceny","LARCENY ALL OTHERS","B2","2018-10-03",2018,10,"Wednesday",18,"AKRON ST"
"24","Drug Violation","DRUGS - POSS CLASS A - HEROIN, ETC. ","E13","2018-10-03",2018,10,"Wednesday",17,"BOYLSTON ST"
"25","Investigate Person","INVESTIGATE PERSON","D4","2018-05-12",2018,5,"Saturday",0,"HARRISON AVE"
"26","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","D14","2018-10-03",2018,10,"Wednesday",19,"MONTCALM AVE"
"27","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","A1","2018-10-03",2018,10,"Wednesday",18,"MARGARET ST"
"28","Other","THREATS TO DO BODILY HARM","A7","2018-10-03",2018,10,"Wednesday",18,"CHAUCER ST"
"29","Simple Assault","ASSAULT SIMPLE - BATTERY","E13","2018-10-03",2018,10,"Wednesday",18,"AMORY ST"
"30","Other","VAL - VIOLATION OF AUTO LAW - OTHER","C11","2018-10-03",2018,10,"Wednesday",19,"GREENMOUNT ST"
"31","Violations","VAL - OPERATING WITHOUT LICENSE","C11","2018-10-03",2018,10,"Wednesday",19,"GREENMOUNT ST"
"32","Vandalism","VANDALISM","C11","2018-09-30",2018,9,"Sunday",0,"WASHINGTON ST"
"33","Liquor Violation","LIQUOR - DRINKING IN PUBLIC","B2","2018-10-03",2018,10,"Wednesday",19,"DEARBORN ST"
"34","Vandalism","VANDALISM","B2","2018-10-02",2018,10,"Tuesday",22,"GURNEY ST"
"35","Vandalism","VANDALISM","C11","2018-10-03",2018,10,"Wednesday",15,"BOWDOIN ST"
"36","Investigate Property","INVESTIGATE PROPERTY","E18","2018-10-03",2018,10,"Wednesday",19,"HYDE PARK AVE"
"37","Investigate Property","INVESTIGATE PROPERTY","E18","2018-10-03",2018,10,"Wednesday",19,"HYDE PARK AVE"
"38","Fraud","FRAUD - IMPERSONATION","B3","2018-10-03",2018,10,"Wednesday",19,"SPENCER ST"
"39","Investigate Property","INVESTIGATE PROPERTY","D4","2018-10-03",2018,10,"Wednesday",17,"BOYLSTON ST"
"40","Auto Theft","AUTO THEFT","B2","2018-10-03",2018,10,"Wednesday",7,"LEYLAND ST"
"41","Auto Theft","AUTO THEFT","C11","2018-10-02",2018,10,"Tuesday",22,"BUTLER ST"
"42","Larceny","LARCENY SHOPLIFTING","C6","2018-10-03",2018,10,"Wednesday",17,"W BROADWAY"
"43","Warrant Arrests","WARRANT ARREST","C6","2018-10-03",2018,10,"Wednesday",17,"ELLERY ST"
"44","Vandalism","VANDALISM","B2","2018-10-03",2018,10,"Wednesday",17,"DUDLEY ST"
"45","Property Lost","PROPERTY - LOST","B3","2018-10-01",2018,10,"Monday",7,"DR. MARY MOORE BEATTY CIR"
"46","Simple Assault","ASSAULT SIMPLE - BATTERY","D4","2018-10-03",2018,10,"Wednesday",17,"HARRISON AVE"
"47","Larceny","LARCENY ALL OTHERS","A1","2018-10-03",2018,10,"Wednesday",16,"CAMBRIDGE ST"
"48","Auto Theft","AUTO THEFT","D4","2018-10-02",2018,10,"Tuesday",11,"AGUADILLA ST"
"49","Larceny","LARCENY THEFT FROM BUILDING","C6","2018-09-25",2018,9,"Tuesday",11,"REV RICHARD A BURKE ST"
"50","Investigate Person","INVESTIGATE PERSON","B3","2018-10-03",2018,10,"Wednesday",16,"STRATTON ST"
"51","Auto Theft","AUTO THEFT","B2","2018-10-02",2018,10,"Tuesday",20,"BLUE HILL AVE"
"52","Larceny","LARCENY THEFT OF BICYCLE","A1","2018-10-03",2018,10,"Wednesday",16,"CENTRAL WHARF"
"53","Investigate Person","INVESTIGATE PERSON","B2","2018-10-03",2018,10,"Wednesday",15,"LAWRENCE AVE"
"54","Warrant Arrests","WARRANT ARREST","A7","2018-10-03",2018,10,"Wednesday",17,"PARIS ST"
"55","Recovered Stolen Property","STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING","A7","2018-10-03",2018,10,"Wednesday",16,"LONDON ST"
"56","Liquor Violation","LIQUOR - DRINKING IN PUBLIC","B2","2018-10-03",2018,10,"Wednesday",17,"DUDLEY ST"
"57","Investigate Property","INVESTIGATE PROPERTY","D4","2018-10-03",2018,10,"Wednesday",17,"YAWKEY WAY"
"58","Vandalism","VANDALISM","C11","2018-10-03",2018,10,"Wednesday",16,"TREMLETT ST"
"59","Larceny","LARCENY ALL OTHERS","B2","2018-10-02",2018,10,"Tuesday",15,"ALBANY ST"
"60","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","C11","2018-10-03",2018,10,"Wednesday",15,"DORCHESTER AVE"
"61","Larceny","LARCENY ALL OTHERS","C11","2018-06-04",2018,6,"Monday",9,"TALBOT AVE"
"62","Investigate Property","INVESTIGATE PROPERTY","C11","2018-06-04",2018,6,"Monday",9,"TALBOT AVE"
"63","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","D14","2018-10-01",2018,10,"Monday",19,"COLWELL AVE"
"64","Larceny","LARCENY SHOPLIFTING","A1","2018-10-03",2018,10,"Wednesday",13,"FANEUIL HALL MARKETPLACE"
"65","Property Lost","PROPERTY - LOST","D4","2018-10-03",2018,10,"Wednesday",8,"BERKELEY ST"
"66","Residential Burglary","BURGLARY - RESIDENTIAL - FORCE","E18","2018-10-03",2018,10,"Wednesday",11,"HOLLINGSWORTH ST"
"67","Auto Theft","AUTO THEFT","B3","2018-10-03",2018,10,"Wednesday",8,"TENNIS RD"
"68","Motor Vehicle Accident Response","M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY","B2","2018-10-03",2018,10,"Wednesday",15,"LONGWOOD AVE"
"69","Medical Assistance","SUDDEN DEATH","E13","2018-10-03",2018,10,"Wednesday",15,"PERKINS ST"
"70","Medical Assistance","SICK/INJURED/MEDICAL - PERSON","B2","2018-10-03",2018,10,"Wednesday",15,"ALLEGHANY ST"
"71","Larceny","LARCENY ALL OTHERS","C6","2018-10-03",2018,10,"Wednesday",16,"K ST"
"72","Drug Violation","DRUGS - POSS CLASS B - COCAINE, ETC.","A7","2018-10-03",2018,10,"Wednesday",14,"PARIS ST"
"73","Restraining Order Violations","VIOL. OF RESTRAINING ORDER W NO ARREST","A1","2018-10-03",2018,10,"Wednesday",15,"BOYLSTON ST"
"74","Larceny","LARCENY ALL OTHERS","A1","2018-09-28",2018,9,"Friday",10,"COURT ST"
"75","Property Found","PROPERTY - FOUND","A1","2018-10-03",2018,10,"Wednesday",16,"HANOVER ST"
"76","Investigate Person","INVESTIGATE PERSON","A15","2018-10-03",2018,10,"Wednesday",15,"BUNKER HILL ST"
"77","Missing Person Reported","MISSING PERSON","A1","2018-10-02",2018,10,"Tuesday",22,"ATLANTIC AVE"
"78","Motor Vehicle Accident Response","M/V - LEAVING SCENE - PROPERTY DAMAGE","E18","2018-10-03",2018,10,"Wednesday",16,"ALWIN ST"
"79","Property Lost","PROPERTY - LOST","B2","2018-09-24",2018,9,"Monday",16,"HOMESTEAD ST"
"80","Vandalism","VANDALISM","B2","2018-10-02",2018,10,"Tuesday",11,"MARTIN LUTHER KING JR BLV"
"81","Harassment","HARASSMENT","B2","2018-10-02",2018,10,"Tuesday",11,"MARTIN LUTHER KING JR BLV"
"82","Larceny","LARCENY ALL OTHERS","A7","2018-10-03",2018,10,"Wednesday",14,"E EAGLE ST"
"83","Simple Assault","ASSAULT SIMPLE - BATTERY","A7","2018-10-03",2018,10,"Wednesday",14,"E EAGLE ST"
"84","Missing Person Reported","MISSING PERSON","C11","2018-10-03",2018,10,"Wednesday",14,"RIDGEWOOD ST"
"85","Drug Violation","DRUGS - SICK ASSIST - HEROIN","A7","2018-10-03",2018,10,"Wednesday",15,"BENNINGTON ST"
